Source,Target,Source Name,Target Name,Common Users,Source Population,Target Population,Total Population,Exposure,Phi-Correlation,T-Test,P-values,Over-expression
ces,nld,Czech,Dutch,398,24573,435128,17694811,0.000914673,-0.002021164,-1.333245296,0.091226009,0.658648624
nld,ces,Dutch,Czech,398,435128,24573,17694811,0.016196639,-0.002021164,-1.333245296,0.091226009,0.658648624
deu,por,German,Portuguese,398,73897,1617409,17694811,0.000246073,-0.019329762,-24.58766606,9.06E-134,0.058922659
por,deu,Portuguese,German,398,1617409,73897,17694811,0.005385875,-0.019329762,-24.58766606,9.06E-134,0.058922659
fra,tur,French,Turkish,378,147843,233158,17694811,0.001621218,-0.008548628,-4.127961085,1.83E-05,0.194037933
tur,fra,Turkish,French,378,233158,147843,17694811,0.002556766,-0.008548628,-4.127961085,1.83E-05,0.194037933
ces,fra,Czech,French,376,24573,147843,17694811,0.002543238,0.002845763,1.09420322,0.136933821,1.831364646
fra,ces,French,Czech,376,147843,24573,17694811,0.015301347,0.002845763,1.09420322,0.136933821,1.831364646
fil,jpn,Filipino (macrolanguage),Japanese,364,257611,2602426,17694811,0.000139869,-0.049987508,-80.74093749,0,0.00960737
jpn,fil,Japanese,Filipino (macrolanguage),364,2602426,257611,17694811,0.001412983,-0.049987508,-80.74093749,0,0.00960737
eng,mkd,English,Macedonian,363,10859465,890,17694811,0.407865169,-0.00299835,-9.880716427,2.52E-23,0.664590481
mkd,eng,Macedonian,English,363,890,10859465,17694811,3.34E-05,-0.00299835,-9.880716427,2.52E-23,0.664590481
ara,kor,Arabic,Korean,350,366643,289982,17694811,0.001206971,-0.017682001,-10.70828291,4.70E-27,0.058250483
kor,ara,Korean,Arabic,350,289982,366643,17694811,0.000954607,-0.017682001,-10.70828291,4.70E-27,0.058250483
fil,zho,Filipino (macrolanguage),Chinese,349,257611,24113,17694811,0.014473521,-2.62E-05,-0.013311734,0.494689548,0.994158673
zho,fil,Chinese,Filipino (macrolanguage),349,24113,257611,17694811,0.001354756,-2.62E-05,-0.013311734,0.494689548,0.994158673
eng,isl,English,Icelandic,342,10859465,588,17694811,0.581632653,-0.000379769,-1.251479286,0.105379847,0.947733601
isl,eng,Icelandic,English,342,588,10859465,17694811,3.15E-05,-0.000379769,-1.251479286,0.105379847,0.947733601
mkd,rus,Macedonian,Russian,341,890,243159,17694811,0.001402375,0.022504394,11.09994205,6.38E-29,27.88174507
rus,mkd,Russian,Macedonian,341,243159,890,17694811,0.383146067,0.022504394,11.09994205,6.38E-29,27.88174507
ara,ces,Arabic,Czech,341,366643,24573,17694811,0.013877019,-0.001791532,-1.084790017,0.139007691,0.66972842
ces,ara,Czech,Arabic,341,24573,366643,17694811,0.00093006,-0.001791532,-1.084790017,0.139007691,0.66972842
dan,fil,Danish,Filipino (macrolanguage),335,12029,257611,17694811,0.00130041,0.002894117,1.468920689,0.070927762,1.912919996
fil,dan,Filipino (macrolanguage),Danish,335,257611,12029,17694811,0.027849364,0.002894117,1.468920689,0.070927762,1.912919996
eng,gle,English,Irish,325,10859465,359,17694811,0.905292479,0.002697448,8.889120146,3.08E-19,1.475116805
gle,eng,Irish,English,325,359,10859465,17694811,2.99E-05,0.002697448,8.889120146,3.08E-19,1.475116805
hat,spa,Haitian,Spanish,316,2600,2043468,17694811,0.000154639,0.000229644,0.328276093,0.371351476,1.052426613
spa,hat,Spanish,Haitian,316,2043468,2600,17694811,0.121538462,0.000229644,0.328276093,0.371351476,1.052426613
cat,ita,Catalan,Italian,315,32376,89242,17694811,0.003529728,0.002832224,0.846075502,0.198756447,1.92914111
ita,cat,Italian,Catalan,315,89242,32376,17694811,0.009729429,0.002832224,0.846075502,0.198756447,1.92914111
deu,jpn,German,Japanese,314,73897,2602426,17694811,0.000120657,-0.026114228,-42.14192349,0,0.028891519
jpn,deu,Japanese,German,314,2602426,73897,17694811,0.004249158,-0.026114228,-42.14192349,0,0.028891519
lav,por,Latvian,Portuguese,302,13573,1617409,17694811,0.000186718,-0.006648722,-8.455852612,1.39E-17,0.243420509
por,lav,Portuguese,Latvian,302,1617409,13573,17694811,0.022250055,-0.006648722,-8.455852612,1.39E-17,0.243420509
fra,kor,French,Korean,299,147843,289982,17694811,0.001031098,-0.010385973,-5.593126613,1.12E-08,0.123408567
kor,fra,Korean,French,299,289982,147843,17694811,0.002022416,-0.010385973,-5.593126613,1.12E-08,0.123408567
slk,spa,Slovak,Spanish,289,3657,2043468,17694811,0.000141426,-0.001640052,-2.344454386,0.009527518,0.684306979
spa,slk,Spanish,Slovak,289,2043468,3657,17694811,0.079026524,-0.001640052,-2.344454386,0.009527518,0.684306979
fin,spa,Finnish,Spanish,284,3856,2043468,17694811,0.000138979,-0.001932385,-2.762346618,0.002869402,0.63776312
spa,fin,Spanish,Finnish,284,2043468,3856,17694811,0.073651452,-0.001932385,-2.762346618,0.002869402,0.63776312
msa,swe,Malay (macrolanguage),Swedish,277,1651705,36604,17694811,0.007567479,-0.013424404,-17.25441088,5.25E-67,0.081070839
swe,msa,Swedish,Malay (macrolanguage),277,36604,1651705,17694811,0.000167705,-0.013424404,-17.25441088,5.25E-67,0.081070839
deu,fil,German,Filipino (macrolanguage),276,73897,257611,17694811,0.001071383,-0.00585191,-2.970199152,0.001488171,0.256545144
fil,deu,Filipino (macrolanguage),German,276,257611,73897,17694811,0.003734928,-0.00585191,-2.970199152,0.001488171,0.256545144
fil,swa,Filipino (macrolanguage),Swahili (macrolanguage),246,257611,5636,17694811,0.043647977,0.004335029,2.200273388,0.013894194,2.998096776
swa,fil,Swahili (macrolanguage),Filipino (macrolanguage),246,5636,257611,17694811,0.000954928,0.004335029,2.200273388,0.013894194,2.998096776
nld,por,Dutch,Portuguese,246,435128,1617409,17694811,0.000152095,-0.050049486,-63.73146541,0,0.006185063
por,nld,Portuguese,Dutch,246,1617409,435128,17694811,0.000565351,-0.050049486,-63.73146541,0,0.006185063
